## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./data/1_bam/ADAR_KO.bam] OUTPUT=./data/2_dedup_bam/ADAR_KO_dePCRdup.bam METRICS_FILE=./data/2_dedup_bam/ADAR_KO_dup_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[./data/2_dedup_bam/tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Dec 29 10:57:32 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	26561	109785	58732	24605	22288	76637	0	0.713287	34596

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999991	15799	15799
2.0	1.041854	5378	5378
3.0	1.043606	2481	2481
4.0	1.04368	1368	1368
5.0	1.043683	883	883
6.0	1.043683	633	633
7.0	1.043683	439	439
8.0	1.043683	370	370
9.0	1.043683	249	249
10.0	1.043683	248	248
11.0	1.043683	196	196
12.0	1.043683	167	167
13.0	1.043683	135	135
14.0	1.043683	121	121
15.0	1.043683	107	107
16.0	1.043683	94	94
17.0	1.043683	80	80
18.0	1.043683	76	76
19.0	1.043683	54	54
20.0	1.043683	47	47
21.0	1.043683	62	62
22.0	1.043683	43	43
23.0	1.043683	47	47
24.0	1.043683	31	31
25.0	1.043683	34	34
26.0	1.043683	31	31
27.0	1.043683	23	23
28.0	1.043683	19	19
29.0	1.043683	18	18
30.0	1.043683	19	19
31.0	1.043683	20	20
32.0	1.043683	25	25
33.0	1.043683	15	15
34.0	1.043683	18	18
35.0	1.043683	7	7
36.0	1.043683	9	9
37.0	1.043683	7	7
38.0	1.043683	12	12
39.0	1.043683	11	11
40.0	1.043683	7	7
41.0	1.043683	10	10
42.0	1.043683	10	10
43.0	1.043683	4	4
44.0	1.043683	6	6
45.0	1.043683	4	4
46.0	1.043683	5	5
47.0	1.043683	7	7
48.0	1.043683	8	8
49.0	1.043683	3	3
50.0	1.043683	7	7
51.0	1.043683	7	7
52.0	1.043683	3	3
53.0	1.043683	5	5
54.0	1.043683	6	6
55.0	1.043683	3	3
56.0	1.043683	5	5
57.0	1.043683	1	1
58.0	1.043683	7	7
59.0	1.043683	0	0
60.0	1.043683	2	2
61.0	1.043683	0	0
62.0	1.043683	2	2
63.0	1.043683	0	0
64.0	1.043683	0	0
65.0	1.043683	3	3
66.0	1.043683	1	1
67.0	1.043683	3	3
68.0	1.043683	1	1
69.0	1.043683	2	2
70.0	1.043683	4	4
71.0	1.043683	0	0
72.0	1.043683	2	2
73.0	1.043683	0	0
74.0	1.043683	1	1
75.0	1.043683	2	2
76.0	1.043683	1	1
77.0	1.043683	1	1
78.0	1.043683	1	1
79.0	1.043683	0	0
80.0	1.043683	2	2
81.0	1.043683	0	0
82.0	1.043683	1	1
83.0	1.043683	0	0
84.0	1.043683	0	0
85.0	1.043683	1	1
86.0	1.043683	1	1
87.0	1.043683	1	1
88.0	1.043683	1	1
89.0	1.043683	3	3
90.0	1.043683	2	2
91.0	1.043683	2	2
