## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./data/1_bam/ADAR_WT.bam] OUTPUT=./data/2_dedup_bam/ADAR_WT_dePCRdup.bam METRICS_FILE=./data/2_dedup_bam/ADAR_WT_dup_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[./data/2_dedup_bam/tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Dec 29 10:57:18 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	23339	111034	62484	21254	19892	79209	0	0.726589	32959

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999976	14483	14483
2.0	1.034405	5080	5080
3.0	1.03559	2243	2243
4.0	1.035631	1273	1273
5.0	1.035632	850	850
6.0	1.035632	601	601
7.0	1.035632	436	436
8.0	1.035632	348	348
9.0	1.035632	271	271
10.0	1.035632	208	208
11.0	1.035632	179	179
12.0	1.035632	166	166
13.0	1.035632	131	131
14.0	1.035632	111	111
15.0	1.035632	97	97
16.0	1.035632	91	91
17.0	1.035632	86	86
18.0	1.035632	60	60
19.0	1.035632	59	59
20.0	1.035632	44	44
21.0	1.035632	50	50
22.0	1.035632	47	47
23.0	1.035632	43	43
24.0	1.035632	43	43
25.0	1.035632	41	41
26.0	1.035632	29	29
27.0	1.035632	26	26
28.0	1.035632	23	23
29.0	1.035632	21	21
30.0	1.035632	16	16
31.0	1.035632	23	23
32.0	1.035632	19	19
33.0	1.035632	29	29
34.0	1.035632	17	17
35.0	1.035632	9	9
36.0	1.035632	15	15
37.0	1.035632	12	12
38.0	1.035632	14	14
39.0	1.035632	6	6
40.0	1.035632	9	9
41.0	1.035632	8	8
42.0	1.035632	13	13
43.0	1.035632	10	10
44.0	1.035632	5	5
45.0	1.035632	7	7
46.0	1.035632	5	5
47.0	1.035632	9	9
48.0	1.035632	8	8
49.0	1.035632	8	8
50.0	1.035632	3	3
51.0	1.035632	5	5
52.0	1.035632	5	5
53.0	1.035632	3	3
54.0	1.035632	6	6
55.0	1.035632	6	6
56.0	1.035632	5	5
57.0	1.035632	5	5
58.0	1.035632	1	1
59.0	1.035632	4	4
60.0	1.035632	6	6
61.0	1.035632	3	3
62.0	1.035632	2	2
63.0	1.035632	3	3
64.0	1.035632	1	1
65.0	1.035632	1	1
66.0	1.035632	1	1
67.0	1.035632	2	2
68.0	1.035632	3	3
69.0	1.035632	4	4
70.0	1.035632	3	3
71.0	1.035632	2	2
72.0	1.035632	2	2
73.0	1.035632	1	1
74.0	1.035632	3	3
75.0	1.035632	0	0
76.0	1.035632	0	0
77.0	1.035632	1	1
78.0	1.035632	1	1
79.0	1.035632	4	4
80.0	1.035632	2	2
81.0	1.035632	2	2
82.0	1.035632	0	0
83.0	1.035632	1	1
84.0	1.035632	1	1
85.0	1.035632	0	0
86.0	1.035632	0	0
87.0	1.035632	0	0
88.0	1.035632	0	0
89.0	1.035632	1	1
90.0	1.035632	0	0
91.0	1.035632	1	1
92.0	1.035632	0	0
93.0	1.035632	1	1
94.0	1.035632	0	0
95.0	1.035632	0	0
96.0	1.035632	1	1
97.0	1.035632	2	2
98.0	1.035632	2	2
99.0	1.035632	0	0
100.0	1.035632	0	0
103.0	0	1	1
105.0	0	1	1
106.0	0	1	1
109.0	0	1	1
110.0	0	1	1
111.0	0	1	1
112.0	0	1	1
113.0	0	1	1
115.0	0	1	1
118.0	0	1	1
119.0	0	1	1
120.0	0	1	1
127.0	0	1	1
130.0	0	1	1
131.0	0	1	1
132.0	0	1	1
133.0	0	1	1
134.0	0	1	1
135.0	0	1	1
136.0	0	1	1
137.0	0	1	1
139.0	0	2	2
141.0	0	1	1
144.0	0	2	2
149.0	0	1	1
150.0	0	1	1
151.0	0	1	1
152.0	0	1	1
153.0	0	1	1
160.0	0	1	1
161.0	0	1	1
165.0	0	1	1
169.0	0	1	1
183.0	0	1	1
203.0	0	1	1
210.0	0	1	1
215.0	0	1	1
221.0	0	2	2
232.0	0	1	1
234.0	0	1	1
245.0	0	1	1
253.0	0	1	1
281.0	0	1	1
343.0	0	1	1
381.0	0	1	1
429.0	0	1	1
611.0	0	1	1
794.0	0	1	1
989.0	0	1	1
1036.0	0	1	1
1103.0	0	1	1
1182.0	0	1	1

