## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./data/1_bam/WGS.bam] OUTPUT=./data/2_dedup_bam/WGS_dePCRdup.bam METRICS_FILE=./data/2_dedup_bam/WGS_dup_metrics.txt REMOVE_DUPLICATES=true TMP_DIR=[./data/2_dedup_bam/tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Dec 29 10:57:02 CST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	2	190149	223	2	0	4556	0	0.02396	3904385

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	177691	177691
2.0	1.952465	4383	4383
3.0	2.859656	85	85
4.0	3.723724	1	1
5.0	4.546718	0	0
6.0	5.330592	0	0
7.0	6.077205	0	0
8.0	6.788328	0	0
9.0	7.465649	0	0
10.0	8.110773	0	0
11.0	8.725231	0	0
12.0	9.310482	0	0
13.0	9.867912	0	0
14.0	10.398846	0	0
15.0	10.904542	0	0
16.0	11.3862	0	0
17.0	11.844963	0	0
18.0	12.281918	0	0
19.0	12.698103	0	0
20.0	13.094505	0	0
21.0	13.472065	0	0
22.0	13.831677	0	0
23.0	14.174195	0	0
24.0	14.500432	0	0
25.0	14.811161	0	0
26.0	15.10712	0	0
27.0	15.38901	0	0
28.0	15.657501	0	0
29.0	15.91323	0	0
30.0	16.156802	0	0
31.0	16.388797	0	0
32.0	16.609763	0	0
33.0	16.820227	0	0
34.0	17.020685	0	0
35.0	17.211616	0	0
36.0	17.39347	0	0
37.0	17.56668	0	0
38.0	17.731657	0	0
39.0	17.888791	0	0
40.0	18.038456	0	0
41.0	18.181007	0	0
42.0	18.316782	0	0
43.0	18.446103	0	0
44.0	18.569277	0	0
45.0	18.686595	0	0
46.0	18.798337	0	0
47.0	18.904768	0	0
48.0	19.006139	0	0
49.0	19.102692	0	0
50.0	19.194655	0	0
51.0	19.282246	0	0
52.0	19.365674	0	0
53.0	19.445137	0	0
54.0	19.520822	0	0
55.0	19.592909	0	0
56.0	19.66157	0	0
57.0	19.726967	0	0
58.0	19.789255	0	0
59.0	19.848583	0	0
60.0	19.90509	0	0
61.0	19.958912	0	0
62.0	20.010175	0	0
63.0	20.059001	0	0
64.0	20.105507	0	0
65.0	20.149801	0	0
66.0	20.191991	0	0
67.0	20.232174	0	0
68.0	20.270448	0	0
69.0	20.306902	0	0
70.0	20.341624	0	0
71.0	20.374695	0	0
72.0	20.406194	0	0
73.0	20.436196	0	0
74.0	20.464771	0	0
75.0	20.491988	0	0
76.0	20.517912	0	0
77.0	20.542603	0	0
78.0	20.566121	0	0
79.0	20.58852	0	0
80.0	20.609855	0	0
81.0	20.630176	0	0
82.0	20.649531	0	0
83.0	20.667966	0	0
84.0	20.685524	0	0
85.0	20.702248	0	0
86.0	20.718177	0	0
87.0	20.733349	0	0
88.0	20.747799	0	0
89.0	20.761563	0	0
90.0	20.774673	0	0
91.0	20.787159	0	0
92.0	20.799052	0	0
93.0	20.810379	0	0
94.0	20.821168	0	0
95.0	20.831444	0	0
96.0	20.841232	0	0
97.0	20.850554	0	0
98.0	20.859433	0	0
99.0	20.867891	0	0
100.0	20.875946	0	0

